id	NC1_Control	NC2_Control	NC3_Control	U2OS1_Treat	U2OS2_Treat	U2OS3_Treat
ARL8A	8.75035375337326	8.72744649148365	8.78112553881345	8.79435501360965	8.53622510905812	8.62793301526364
OSR1	4.17316477136009	3.69015056585657	4.49309093926754	5.70856189512266	5.6472831633805	5.0858245302062
GDF7	7.72409650470184	7.86728234058285	7.46318540224191	7.51874031346706	7.51611496875449	7.44269374245197
PDIA6	13.5660815176292	13.5759865490694	13.5562868711461	13.6908912481997	13.7140693977646	13.6252178383862
RHOB	10.8522190337411	10.6507576640943	10.8586664180327	11.1506841583119	10.9888040952328	11.0437197942381
ATP6V1C2	6.57363424481028	6.19296669394512	5.95579897427749	6.04204598529428	6.15268183070495	6.26493340303641
HNRNPLL	11.5555784601338	11.5686761306871	11.583814945042	11.6313748311967	11.5598637676295	11.5897054816363
GALM	3.87995927595352	4.27442850245788	4.02000420004191	4.02000420004191	4.09024816144829	4.65263810842324
CAMKMT	7.64585354720897	7.52313415382426	7.55542148409709	7.5075193898665	7.34456306002953	7.54532760147684
ABCG8	1	1.38997500048077	1.79248125036058	1.86165416690705	2.72149256029689	2.25845779756387
EML4	12.8956121222156	12.9455117585992	12.9330052811894	12.9330052811894	12.9916663440448	12.9988269923744
CALM2	14.7097603804292	14.681693771247	14.6911119828598	14.8876731175478	14.864310300787	14.8398878114816
CHAC2	9.00824332371397	9.31276987837847	9.30955274456542	9.2924983183683	9.26033249392887	9.13968530551602
RPS27A	14.4098681250718	14.2779990887876	14.2710577930382	14.2860762348967	14.2471675590385	14.1894253924886
WDPCP	9.41697244783072	9.73974104307862	9.5119982902836	9.90629657749479	9.93314438946532	9.91081414702228
VPS54	11.172216166348	11.1457486806579	11.2001151775579	11.1723129460528	11.2500179413034	11.1298131414148
ASXL2	12.5511584878964	12.5920061499171	12.5723292183269	12.5473471393121	12.4225426560767	12.4671120458145
ETAA1	11.1514828689086	11.2598083883216	11.2779565770257	11.2946420237721	11.3639105964986	11.2874718330444
SNRPG	12.1659157792163	11.9840748683112	12.0670031671662	12.0309073296464	12.2070419171349	12.160204382192
ABHD1	4.23693410829117	3.81308732599455	2.95536123761056	3.36093397262796	3.36093397262796	3.59575942876427
MEIS1	9.67893941100486	9.54084829360548	9.72119185153908	9.93300418584973	9.92207960125688	9.85017724189051
TRIM43B	1	1.38997500048077	2.60848057611145	1	2.21461872992491	0
TRIM43	0	1.38997500048077	1.38997500048077	3.4702749057584	1.38997500048077	1
CIAO1	12.1012736427489	12.0983046981889	12.0512371369368	12.0406179222125	12.0482710415449	12.0951156120118
ZNF514	8.92323001693711	9.37138676030995	9.16534393884696	9.05899643798969	9.02891831877687	8.97651813142651
SNRNP200	14.1983049887678	14.1931055373866	14.2144906851239	14.2021512071436	14.1784775910297	14.1662611822791
MRPS5	10.4243445255951	10.5735440318303	10.4895834589711	10.5226358908553	10.4088543193896	10.5070743411718
ANKRD53	3.4702749057584	3.28877407141527	3.4702749057584	3.21220213497572	3.07440215722158	3.44935309207775
TPRKB	10.7497120094844	10.6881700388006	10.6622275714733	10.6659886556168	10.6677919512785	10.7567093949616
NAT8	3.87995927595352	4.34764524472189	4.02000420004191	3.89920547885684	4.72531252014807	4.49309093926754
EXOC6B	11.471027957543	11.452094806138	11.3580056772875	11.409400715804	11.367443203045	11.387960553756
SFXN5	9.81614823531985	9.73579976560417	9.7789829580968	9.92284363441125	9.79094710014124	9.91959032523004
TEX261	11.9898597526415	11.9561896440426	12.0049338835396	12.0343421330765	11.8899086340148	11.9696478839122
DQX1	5.52086489171495	5.89234721761051	5.85227330535362	5.70856189512266	5.8722430414306	6.39527294680926
DUSP11	10.902350945285	10.9257679749404	10.9673359288543	10.6709885156464	10.6165374351594	10.6326414302239
ST6GAL2	2.49728436544322	1.91530884938828	2.02261821435073	2.25845779756387	0	1.86165416690705
NPHP1	9.12951033070077	9.21382864491701	9.22059030223718	8.72343203513138	8.74532800462533	8.83732270386078
MALL	0	1	2.02261821435073	0	1	0
THNSL2	8.40141096851008	8.44846928696541	8.10442889020988	8.12702478241264	8.12702478241264	7.86105910174094
RALB	12.0385207811928	11.9797751382137	12.0869677289471	12.0096288838595	11.9696478839122	11.9549568376402
C1QL2	4.17316477136009	3.28877407141527	3.36093397262796	1.86165416690705	3.36093397262796	1.86165416690705
TMEM177	8.58082041382116	8.57199359381572	8.41140319846379	8.44962256298212	8.44338594858764	8.36850362374691
NT5DC4	5.27709990417662	5.0858245302062	4.72531252014807	4.27442850245788	5.4663026229566	5.54467392168082
RABL2A	9.08387930502647	9.02933082140511	9.11113565536914	8.87971513177241	9.00298888736491	8.85192462995978
SLC20A1	14.4441624426016	14.4471816804148	14.4506221475819	13.840332215408	13.8207116876449	13.9285132445255
FBLN7	5.55550295960482	4.72531252014807	5.3068614808783	5.73377290338639	4.77926487740935	5.2831875501808
ZC3H8	9.9836742985326	9.9093418318891	9.84268886576748	9.7730630074232	9.88926268126858	9.85017724189051
LIPT1	7.61599548785909	7.65622267173518	7.33424106748186	7.17836608373765	7.14119866875694	7.47326842145056
CNGA3	0	0	0	1	0	0
FAHD2B	9.02260203533265	8.83732270386078	8.92621326629157	8.78699829080538	8.75425644551314	8.75619533720785
LYG1	6.07382457622912	5.80623891443883	6.19296669394512	6.06392131419339	6.36415729189584	6.22467870962182
AFF3	9.76394014434674	9.73974104307862	9.68240753389396	10.2195509770564	10.1597883367717	10.07478251663
UBXN4	12.3907713331057	12.3964127664579	12.3985913414526	12.4025460550229	12.3307890498478	12.4658360108835
NXPH2	6.01982909798621	5.7221098769549	5.53053054891844	6.91907553383361	7.19982757443292	7.08929564173037
SPOPL	10.8755649526156	10.8573481026738	10.8135507748028	10.8836304891974	10.8364098565518	10.878885377528
THSD7B	7.59231850852512	7.92611497299937	7.6014799909894	7.34000021205373	7.65076501896521	7.67588494042474
GPR17	4.72531252014807	4.66922738734839	4.6911014762281	5.68446992911639	5.49877853579771	5.17463669918738
POLR2D	11.8291007038818	11.9164832574193	11.8961827836776	11.9803030361129	11.9965635558906	12.0234073733425
AMMECR1L	11.471600400149	11.4547711717319	11.4343031341091	11.5338882459535	11.5051683625924	11.5849801930921
GALNT13	6.98184813456092	6.92486064257212	7.07774624073766	7.36666785644316	7.39636024116742	7.19327646915994
PKP4	11.6832819679103	11.6664890134502	11.713347859204	11.8463754055856	11.7650351996882	11.8132053475515
SCN1A	3.02074747474036	2.25845779756387	2.60848057611145	1.86165416690705	2.21461872992491	0
SLC4A10	2.49728436544322	1.91530884938828	1	3.21220213497572	1.38997500048077	1
SCRN3	9.28064527257465	9.36813424522166	9.26251133733891	9.146463727746	8.95643655635308	9.1071727687497
LNPK	10.4201291108024	10.3900472628058	10.3908910627088	10.6168290014233	10.717330315073	10.4369065851711
ZNF385B	5.80623891443883	6.0595887794379	5.72717215179549	6.31366055673422	6.68274692490905	6.57252617625916
TMEFF2	1	2.25845779756387	0	1	1	0
CDCA7	9.54602710719834	9.54573208094073	9.5234411492817	9.90780614648073	9.91996187123229	9.78147907318236
DLX1	2.21461872992491	4.18549820160072	2.60848057611145	3.89920547885684	3.91294917222217	3.92752631243056
UBR3	10.9675539382017	10.9776842778342	11.0966420002055	10.8996020587129	11.0152794973279	10.9560647562259
PHOSPHO2	7.06781517587008	6.76731858085418	6.78249862070892	7.03847023749467	6.76313645213084	6.72650233466881
GULP1	9.3178752777302	9.53698266825568	9.81020513811654	8.83234984505703	8.75645985785744	9.09963050999094
FAM171B	10.6861949182271	10.6825152345301	10.7643512608918	10.7692618415717	10.6999707722277	10.6649813099208
HSPD1	13.9652145671297	14.0070042606982	13.9995580242127	14.0628130025309	14.0194516931284	14.0518290032804
CCDC150	9.53040977695961	9.41060893229138	9.31298787406239	9.59703808620731	9.7048583145677	9.67357045653119
METTL21A	9.24498833500055	9.44707212078801	9.2521591502684	9.36387213171395	9.55495214527569	9.44115389902646
UNC80	9.19007622063913	8.891841789139	9.02346047834711	9.34846604794424	9.36128900612903	9.07873078509507
CPO	2.49728436544322	1	1.79248125036058	3.02074747474036	1	1
NBEAL1	11.4910421513739	11.4513418290772	11.4732528829737	11.4111689705509	11.3531182911491	11.4348268512262
KANSL1L	10.1729807373438	10.2289119271264	10.2306113131569	10.1728713925553	10.3644477929919	10.2832193282472
SPAG16	8.90352074949079	8.81084555240536	8.88377568722216	8.7675054151776	8.80693069535118	8.97274838569659
ABCA12	6.95775093249077	6.64240288183822	5.82690104740451	5.6135605661504	5.21426529295853	5.24542360249537
SUMF1	8.08240380775594	8.00588826199089	8.04623407368735	8.3114194206215	8.20629873606613	7.78142677125404
NYAP2	6.82969789106227	6.78249862070892	6.64240288183822	6.68274692490905	5.7221098769549	5.81944331693282
RHBDD1	9.8347543653658	9.89778408120705	9.85160775506253	9.88963765531363	9.74989864935851	9.99624925952902
ACKR3	7.047983805285	7.153062150148	7.39419192213278	7.7083861270858	7.64585354720897	7.71639168800548
TRPM8	6.33481275865478	6.78249862070892	6.50724765014199	6.17296695220168	6.33481275865478	6.17128546204021
HES6	5.12793753968871	3.13184351911949	5.0858245302062	5.46163356026166	5.54467392168082	5.49877853579771
ESPNL	1.38997500048077	1	2.76533162793585	0	0	1
ANKMY1	6.7423553139736	7.07859588799649	7.49768745502424	7.13088023780259	6.86474937358166	7.07859588799649
COPS7B	10.1235840862283	10.3434301868065	10.2753275963744	10.1867397763531	10.1260539451089	10.23024058146
DIS3L2	9.80624874408318	9.90780614648073	10.1574824670252	10.0092491208745	9.99960604043045	9.86289388493474
CPNE9	1	2.25845779756387	1	0	1.38997500048077	1
FANCD2	11.2742768265348	11.3017646421762	11.2346111817153	11.5711561837057	11.5457701368174	11.589237811775
TAMM41	8.7325222693989	8.74644994820216	8.67571996358616	8.40875589274494	8.61604776472513	8.42602553139204
VGLL4	10.4691435061442	10.3528029675208	10.4057779124698	10.4234984866997	10.4275479966082	10.5914841799332
RAB5A	11.2313106070822	11.1996492381306	11.1867774472852	11.076195719471	11.0854113000361	11.214514826219
RETREG2	11.3805944512642	11.3033328189451	11.389665625825	11.1758219411637	11.1665016823841	11.1466992237434
CTDSP1	10.7845029225622	10.9182467625564	10.8364098565518	10.9229737049664	10.8821267462731	10.8735671663963
